2026-02-24 13:24:39 | DEBUG    | shortsqueeze.signals:scan_stock - SANA: No signal - price=False (+3.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($4.22 vs VWAP $4.05), squeeze=False, mom=False
2026-02-24 13:24:40 | DEBUG    | shortsqueeze.signals:scan_stock - RXRX: price=$3.54, prev_close=$3.41 (source: yahoo)
2026-02-24 13:24:40 | DEBUG    | shortsqueeze.signals:scan_stock - RXRX: No signal - price=False (+3.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.54 vs VWAP $3.42), squeeze=False, mom=False
2026-02-24 13:24:41 | DEBUG    | shortsqueeze.signals:scan_stock - ABSI: price=$3.98, prev_close=$2.65 (source: yahoo)
2026-02-24 13:24:41 | DEBUG    | shortsqueeze.signals:scan_stock - ABSI: No signal - price=True (+50.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.98 vs VWAP $2.65), squeeze=False, mom=False
2026-02-24 13:24:41 | DEBUG    | shortsqueeze.signals:scan_stock - IOVA: price=$7.96, prev_close=$2.89 (source: yahoo)
2026-02-24 13:24:42 | DEBUG    | shortsqueeze.signals:scan_stock - IOVA: No signal - price=True (+175.6%, need +5.0%), vol=False (ratio=0.2x, need 3.0x, src=alpaca), vwap=True ($7.96 vs VWAP $2.93), squeeze=False, mom=False
2026-02-24 13:24:42 | DEBUG    | shortsqueeze.signals:scan_stock - INDI: price=$3.55, prev_close=$3.44 (source: yahoo)
2026-02-24 13:24:43 | DEBUG    | shortsqueeze.signals:scan_stock - INDI: No signal - price=False (+3.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.55 vs VWAP $3.36), squeeze=False, mom=False
2026-02-24 13:24:43 | DEBUG    | shortsqueeze.signals:scan_stock - NFE: price=$1.19, prev_close=$1.21 (source: yahoo)
2026-02-24 13:24:43 | DEBUG    | shortsqueeze.signals:scan_stock - NFE: No signal - price=False (-1.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.19 vs VWAP $1.21), squeeze=False, mom=False
2026-02-24 13:24:44 | DEBUG    | shortsqueeze.signals:scan_stock - EVGO: price=$2.77, prev_close=$2.76 (source: yahoo)
2026-02-24 13:24:44 | DEBUG    | shortsqueeze.signals:scan_stock - EVGO: No signal - price=False (+0.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($2.77 vs VWAP $2.73), squeeze=False, mom=False
2026-02-24 13:24:45 | DEBUG    | shortsqueeze.signals:scan_stock - BBAI: price=$3.88, prev_close=$3.71 (source: yahoo)
2026-02-24 13:24:45 | DEBUG    | shortsqueeze.signals:scan_stock - BBAI: No signal - price=False (+4.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.88 vs VWAP $3.75), squeeze=False, mom=False
2026-02-24 13:24:46 | DEBUG    | shortsqueeze.signals:scan_stock - CRDF: price=$1.71, prev_close=$1.56 (source: yahoo)
2026-02-24 13:24:46 | DEBUG    | shortsqueeze.signals:scan_stock - CRDF: No signal - price=True (+9.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.71 vs VWAP $1.57), squeeze=False, mom=False
2026-02-24 13:24:47 | DEBUG    | shortsqueeze.signals:scan_stock - RR: price=$2.54, prev_close=$2.62 (source: yahoo)
2026-02-24 13:24:47 | DEBUG    | shortsqueeze.signals:scan_stock - RR: No signal - price=False (-3.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($2.54 vs VWAP $2.59), squeeze=False, mom=False
2026-02-24 13:24:48 | DEBUG    | shortsqueeze.signals:scan_stock - PLUG: price=$1.94, prev_close=$1.84 (source: yahoo)
