2026-03-05 10:00:26 | DEBUG    | shortsqueeze.signals:scan_stock - QXO: No signal - price=False (-1.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($22.93 vs VWAP $22.94), squeeze=False, mom=False
2026-03-05 10:00:27 | DEBUG    | shortsqueeze.signals:scan_stock - KIM: price=$23.52, prev_close=$23.56 (source: yahoo)
2026-03-05 10:00:28 | DEBUG    | shortsqueeze.signals:scan_stock - KIM: Using Yahoo volume=1,259,647
2026-03-05 10:00:28 | DEBUG    | shortsqueeze.signals:scan_stock - KIM: No signal - price=False (-0.1%, need +5.0%), vol=False (ratio=0.5x, need 3.0x, src=yahoo), vwap=True ($23.52 vs VWAP $23.50), squeeze=False, mom=False
2026-03-05 10:00:28 | DEBUG    | shortsqueeze.signals:scan_stock - TLRY: price=$7.11, prev_close=$7.30 (source: yahoo)
2026-03-05 10:00:29 | DEBUG    | shortsqueeze.signals:scan_stock - TLRY: No signal - price=False (-2.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($7.11 vs VWAP $7.47), squeeze=False, mom=False
2026-03-05 10:00:30 | DEBUG    | shortsqueeze.signals:scan_stock - CNH: price=$11.34, prev_close=$11.90 (source: yahoo)
2026-03-05 10:00:30 | DEBUG    | shortsqueeze.signals:scan_stock - CNH: No signal - price=False (-4.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($11.34 vs VWAP $11.90), squeeze=False, mom=False
2026-03-05 10:00:31 | DEBUG    | shortsqueeze.signals:scan_stock - IWM: price=$256.86, prev_close=$261.76 (source: yahoo)
2026-03-05 10:00:31 | DEBUG    | shortsqueeze.signals:scan_stock - IWM: No signal - price=False (-1.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($256.86 vs VWAP $261.55), squeeze=False, mom=False
2026-03-05 10:00:32 | DEBUG    | shortsqueeze.signals:scan_stock - WPM: price=$146.95, prev_close=$153.95 (source: yahoo)
2026-03-05 10:00:32 | DEBUG    | shortsqueeze.signals:scan_stock - WPM: No signal - price=False (-4.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($146.95 vs VWAP $153.27), squeeze=False, mom=False
2026-03-05 10:00:33 | DEBUG    | shortsqueeze.signals:scan_stock - DJT: price=$10.81, prev_close=$10.95 (source: yahoo)
2026-03-05 10:00:33 | DEBUG    | shortsqueeze.signals:scan_stock - DJT: No signal - price=False (-1.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($10.81 vs VWAP $10.94), squeeze=False, mom=False
2026-03-05 10:00:34 | DEBUG    | shortsqueeze.signals:scan_stock - EXK: price=$11.73, prev_close=$12.42 (source: yahoo)
2026-03-05 10:00:34 | DEBUG    | shortsqueeze.signals:scan_stock - EXK: No signal - price=False (-5.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($11.73 vs VWAP $12.38), squeeze=False, mom=False
2026-03-05 10:00:35 | DEBUG    | shortsqueeze.signals:scan_stock - NBIS: price=$91.01, prev_close=$97.78 (source: yahoo)
2026-03-05 10:00:36 | DEBUG    | shortsqueeze.signals:scan_stock - NBIS: No signal - price=False (-6.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($91.01 vs VWAP $95.56), squeeze=False, mom=False
2026-03-05 10:00:36 | DEBUG    | shortsqueeze.signals:scan_stock - OXY: price=$53.95, prev_close=$53.61 (source: yahoo)
2026-03-05 10:00:37 | DEBUG    | shortsqueeze.signals:scan_stock - OXY: No signal - price=False (+0.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($53.95 vs VWAP $53.32), squeeze=False, mom=False
2026-03-05 10:00:38 | DEBUG    | shortsqueeze.signals:scan_stock - MT: price=$57.36, prev_close=$61.16 (source: yahoo)
2026-03-05 10:00:38 | DEBUG    | shortsqueeze.signals:scan_stock - MT: No signal - price=False (-6.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($57.36 vs VWAP $61.33), squeeze=False, mom=False
2026-03-05 10:00:39 | DEBUG    | shortsqueeze.signals:scan_stock - FSM: price=$11.75, prev_close=$12.38 (source: yahoo)
2026-03-05 10:00:39 | DEBUG    | shortsqueeze.signals:scan_stock - FSM: No signal - price=False (-5.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($11.75 vs VWAP $12.40), squeeze=False, mom=False
2026-03-05 10:00:39 | DEBUG    | shortsqueeze.signals:scan_stock - SIRI: price=$22.74, prev_close=$22.64 (source: yahoo)
2026-03-05 10:00:40 | DEBUG    | shortsqueeze.signals:scan_stock - SIRI: No signal - price=False (+0.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($22.74 vs VWAP $22.56), squeeze=False, mom=False
2026-03-05 10:00:40 | DEBUG    | shortsqueeze.signals:scan_stock - BUR: price=$8.29, prev_close=$8.37 (source: yahoo)
2026-03-05 10:00:41 | DEBUG    | shortsqueeze.signals:scan_stock - BUR: No signal - price=False (-0.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($8.29 vs VWAP $8.43), squeeze=False, mom=False
2026-03-05 10:00:41 | DEBUG    | shortsqueeze.signals:scan_stock - MTHRY: Alpaca returned insufficient data, trying Yahoo...
2026-03-05 10:00:41 | DEBUG    | shortsqueeze.signals:scan_stock - MTHRY: Got 20 bars from Yahoo
2026-03-05 10:00:41 | DEBUG    | shortsqueeze.signals:scan_stock - MTHRY: price=$5.11, prev_close=$5.23 (source: yahoo)
2026-03-05 10:00:41 | DEBUG    | shortsqueeze.signals:scan_stock - MTHRY: Using Yahoo volume=1,988
2026-03-05 10:00:41 | DEBUG    | shortsqueeze.signals:scan_stock - MTHRY: No signal - price=False (-2.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-03-05 10:00:42 | DEBUG    | shortsqueeze.signals:scan_stock - MO: price=$66.77, prev_close=$68.12 (source: yahoo)
2026-03-05 10:00:42 | DEBUG    | shortsqueeze.signals:scan_stock - MO: No signal - price=False (-2.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($66.77 vs VWAP $68.18), squeeze=False, mom=False
2026-03-05 10:00:43 | DEBUG    | shortsqueeze.signals:scan_stock - NG: price=$12.20, prev_close=$12.69 (source: yahoo)
2026-03-05 10:00:43 | DEBUG    | shortsqueeze.signals:scan_stock - NG: No signal - price=False (-3.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($12.20 vs VWAP $12.74), squeeze=False, mom=False
2026-03-05 10:00:44 | DEBUG    | shortsqueeze.signals:scan_stock - SGML: price=$12.93, prev_close=$12.96 (source: yahoo)
2026-03-05 10:00:44 | DEBUG    | shortsqueeze.signals:scan_stock - SGML: No signal - price=False (-0.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($12.93 vs VWAP $12.86), squeeze=False, mom=False
2026-03-05 10:00:45 | DEBUG    | shortsqueeze.signals:scan_stock - IMSR: price=$6.86, prev_close=$7.06 (source: yahoo)
2026-03-05 10:00:45 | DEBUG    | shortsqueeze.signals:scan_stock - IMSR: No signal - price=False (-2.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($6.86 vs VWAP $6.95), squeeze=False, mom=False
2026-03-05 10:00:46 | DEBUG    | shortsqueeze.signals:scan_stock - CNQ: price=$44.91, prev_close=$44.18 (source: yahoo)
2026-03-05 10:00:46 | DEBUG    | shortsqueeze.signals:scan_stock - CNQ: No signal - price=False (+1.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($44.91 vs VWAP $43.93), squeeze=False, mom=False
2026-03-05 10:00:47 | DEBUG    | shortsqueeze.signals:scan_stock - SNN: price=$34.91, prev_close=$36.36 (source: yahoo)
2026-03-05 10:00:47 | DEBUG    | shortsqueeze.signals:scan_stock - SNN: No signal - price=False (-4.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($34.91 vs VWAP $36.15), squeeze=False, mom=False
2026-03-05 10:00:48 | DEBUG    | shortsqueeze.signals:scan_stock - BILI: price=$25.73, prev_close=$27.50 (source: yahoo)
2026-03-05 10:00:48 | DEBUG    | shortsqueeze.signals:scan_stock - BILI: No signal - price=False (-6.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($25.73 vs VWAP $27.50), squeeze=False, mom=False
2026-03-05 10:00:48 | DEBUG    | shortsqueeze.signals:scan_stock - OKLO: price=$61.62, prev_close=$65.65 (source: yahoo)
2026-03-05 10:00:48 | DEBUG    | shortsqueeze.signals:scan_stock - OKLO: No signal - price=False (-6.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($61.62 vs VWAP $65.01), squeeze=False, mom=False
2026-03-05 10:00:49 | DEBUG    | shortsqueeze.signals:scan_stock - ORLA: price=$18.61, prev_close=$19.95 (source: yahoo)
