2026-02-25 11:14:50 | DEBUG    | shortsqueeze.signals:scan_stock - SLI: No signal - price=False (+1.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($4.84 vs VWAP $4.76), squeeze=False, mom=False
2026-02-25 11:14:51 | DEBUG    | shortsqueeze.signals:scan_stock - SPWR: price=$1.42, prev_close=$1.45 (source: yahoo)
2026-02-25 11:14:51 | DEBUG    | shortsqueeze.signals:scan_stock - SPWR: No signal - price=False (-2.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.42 vs VWAP $1.44), squeeze=False, mom=False
2026-02-25 11:14:52 | DEBUG    | shortsqueeze.signals:scan_stock - BTQ: price=$3.31, prev_close=$2.52 (source: yahoo)
2026-02-25 11:14:52 | DEBUG    | shortsqueeze.signals:scan_stock - BTQ: No signal - price=True (+31.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.31 vs VWAP $2.52), squeeze=False, mom=False
2026-02-25 11:14:53 | DEBUG    | shortsqueeze.signals:scan_stock - SKYX: price=$2.09, prev_close=$2.02 (source: yahoo)
2026-02-25 11:14:53 | DEBUG    | shortsqueeze.signals:scan_stock - SKYX: Using Yahoo volume=273,755
2026-02-25 11:14:53 | DEBUG    | shortsqueeze.signals:scan_stock - SKYX: No signal - price=False (+3.7%, need +5.0%), vol=False (ratio=0.5x, need 3.0x, src=yahoo), vwap=True ($2.09 vs VWAP $2.02), squeeze=False, mom=False
2026-02-25 11:14:53 | DEBUG    | shortsqueeze.signals:scan_stock - LX: price=$2.92, prev_close=$3.01 (source: yahoo)
2026-02-25 11:14:53 | DEBUG    | shortsqueeze.signals:scan_stock - LX: Using Yahoo volume=498,775
2026-02-25 11:14:53 | DEBUG    | shortsqueeze.signals:scan_stock - LX: No signal - price=False (-2.8%, need +5.0%), vol=False (ratio=0.7x, need 3.0x, src=yahoo), vwap=False ($2.92 vs VWAP $2.98), squeeze=False, mom=False
2026-02-25 11:14:54 | DEBUG    | shortsqueeze.signals:scan_stock - ABAT: price=$3.80, prev_close=$3.66 (source: yahoo)
2026-02-25 11:14:54 | DEBUG    | shortsqueeze.signals:scan_stock - ABAT: No signal - price=False (+4.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.80 vs VWAP $3.63), squeeze=False, mom=False
2026-02-25 11:14:54 | DEBUG    | shortsqueeze.signals:scan_stock - RANI: price=$1.31, prev_close=$1.31 (source: yahoo)
2026-02-25 11:14:55 | DEBUG    | shortsqueeze.signals:scan_stock - RANI: No signal - price=False (+0.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.31 vs VWAP $1.33), squeeze=False, mom=False
2026-02-25 11:14:55 | DEBUG    | shortsqueeze.signals:scan_stock - NEOV: price=$3.48, prev_close=$3.30 (source: yahoo)
2026-02-25 11:14:55 | DEBUG    | shortsqueeze.signals:scan_stock - NEOV: Using Yahoo volume=127,757
2026-02-25 11:14:55 | DEBUG    | shortsqueeze.signals:scan_stock - NEOV: No signal - price=True (+5.5%, need +5.0%), vol=False (ratio=0.4x, need 3.0x, src=yahoo), vwap=True ($3.48 vs VWAP $3.36), squeeze=False, mom=False
2026-02-25 11:14:56 | DEBUG    | shortsqueeze.signals:scan_stock - TDOC: price=$4.69, prev_close=$4.54 (source: yahoo)
2026-02-25 11:14:56 | DEBUG    | shortsqueeze.signals:scan_stock - TDOC: No signal - price=False (+3.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($4.69 vs VWAP $4.52), squeeze=False, mom=False
2026-02-25 11:14:57 | DEBUG    | shortsqueeze.signals:scan_stock - HNST: price=$2.26, prev_close=$2.26 (source: yahoo)
2026-02-25 11:14:57 | DEBUG    | shortsqueeze.signals:scan_stock - HNST: No signal - price=False (+0.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($2.26 vs VWAP $2.27), squeeze=False, mom=False
2026-02-25 11:14:57 | DEBUG    | shortsqueeze.signals:scan_stock - SNDL: price=$1.56, prev_close=$1.55 (source: yahoo)
2026-02-25 11:14:57 | DEBUG    | shortsqueeze.signals:scan_stock - SNDL: No signal - price=False (+0.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.56 vs VWAP $1.52), squeeze=False, mom=False
2026-02-25 11:14:58 | DEBUG    | shortsqueeze.signals:scan_stock - VGZ: price=$2.90, prev_close=$2.86 (source: yahoo)
2026-02-25 11:14:58 | DEBUG    | shortsqueeze.signals:scan_stock - VGZ: No signal - price=False (+1.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($2.90 vs VWAP $2.85), squeeze=False, mom=False
2026-02-25 11:14:58 | INFO     | shortsqueeze.signals:scan_watchlist - Scan complete: 276 stocks scanned, 0 signals detected, 0 errors
2026-02-25 11:14:58 | INFO     | shortsqueeze.bot:_run_scan - No signals detected
2026-02-25 11:16:28 | INFO     | shortsqueeze.bot:_run_scan - Running intraday scan...
