2026-02-26 10:53:12 | DEBUG    | shortsqueeze.signals:scan_stock - XME: No signal - price=False (-1.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($117.77 vs VWAP $120.00), squeeze=False, mom=False
2026-02-26 10:53:13 | DEBUG    | shortsqueeze.signals:scan_stock - GEMI: price=$6.05, prev_close=$6.19 (source: yahoo)
2026-02-26 10:53:13 | DEBUG    | shortsqueeze.signals:scan_stock - GEMI: No signal - price=False (-2.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($6.05 vs VWAP $6.31), squeeze=False, mom=False
2026-02-26 10:53:14 | DEBUG    | shortsqueeze.signals:scan_stock - ORC: price=$7.58, prev_close=$7.59 (source: yahoo)
2026-02-26 10:53:14 | DEBUG    | shortsqueeze.signals:scan_stock - ORC: No signal - price=False (-0.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($7.58 vs VWAP $7.54), squeeze=False, mom=False
2026-02-26 10:53:15 | DEBUG    | shortsqueeze.signals:scan_stock - BTG: price=$6.08, prev_close=$6.20 (source: yahoo)
2026-02-26 10:53:15 | DEBUG    | shortsqueeze.signals:scan_stock - BTG: No signal - price=False (-2.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($6.08 vs VWAP $6.16), squeeze=False, mom=False
2026-02-26 10:53:15 | DEBUG    | shortsqueeze.signals:scan_stock - KYIV: price=$11.81, prev_close=$12.01 (source: yahoo)
2026-02-26 10:53:15 | DEBUG    | shortsqueeze.signals:scan_stock - KYIV: Using Yahoo volume=224,444
2026-02-26 10:53:15 | DEBUG    | shortsqueeze.signals:scan_stock - KYIV: No signal - price=False (-1.7%, need +5.0%), vol=False (ratio=0.4x, need 3.0x, src=yahoo), vwap=False ($11.81 vs VWAP $12.06), squeeze=False, mom=False
2026-02-26 10:53:16 | DEBUG    | shortsqueeze.signals:scan_stock - USO: price=$80.99, prev_close=$79.73 (source: yahoo)
2026-02-26 10:53:16 | DEBUG    | shortsqueeze.signals:scan_stock - USO: No signal - price=False (+1.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($80.99 vs VWAP $79.77), squeeze=False, mom=False
2026-02-26 10:53:17 | DEBUG    | shortsqueeze.signals:scan_stock - PLD: price=$141.58, prev_close=$140.03 (source: yahoo)
2026-02-26 10:53:17 | DEBUG    | shortsqueeze.signals:scan_stock - PLD: Using Yahoo volume=1,071,052
2026-02-26 10:53:17 | DEBUG    | shortsqueeze.signals:scan_stock - PLD: No signal - price=False (+1.1%, need +5.0%), vol=False (ratio=0.7x, need 3.0x, src=yahoo), vwap=True ($141.58 vs VWAP $140.07), squeeze=False, mom=False
2026-02-26 10:53:17 | DEBUG    | shortsqueeze.signals:scan_stock - TMC: price=$6.42, prev_close=$6.39 (source: yahoo)
2026-02-26 10:53:17 | DEBUG    | shortsqueeze.signals:scan_stock - TMC: No signal - price=False (+0.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($6.42 vs VWAP $6.45), squeeze=False, mom=False
2026-02-26 10:53:18 | DEBUG    | shortsqueeze.signals:scan_stock - PRNDY: Alpaca returned insufficient data, trying Yahoo...
2026-02-26 10:53:18 | DEBUG    | shortsqueeze.signals:scan_stock - PRNDY: Got 23 bars from Yahoo
2026-02-26 10:53:18 | DEBUG    | shortsqueeze.signals:scan_stock - PRNDY: price=$18.00, prev_close=$18.42 (source: yahoo)
2026-02-26 10:53:18 | DEBUG    | shortsqueeze.signals:scan_stock - PRNDY: Using Yahoo volume=56,406
2026-02-26 10:53:18 | DEBUG    | shortsqueeze.signals:scan_stock - PRNDY: No signal - price=False (-2.3%, need +5.0%), vol=False (ratio=0.3x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-02-26 10:53:19 | DEBUG    | shortsqueeze.signals:scan_stock - FITB: price=$20.50, prev_close=$51.55 (source: yahoo)
2026-02-26 10:53:19 | DEBUG    | shortsqueeze.signals:scan_stock - FITB: Using Yahoo volume=3,813,648
