2026-02-19 09:08:26 | DEBUG    | shortsqueeze.signals:scan_stock - UNVGY: Alpaca returned insufficient data, trying Yahoo...
2026-02-19 09:08:27 | DEBUG    | shortsqueeze.signals:scan_stock - UNVGY: Got 22 bars from Yahoo
2026-02-19 09:08:27 | DEBUG    | shortsqueeze.signals:scan_stock - UNVGY: price=$11.39, prev_close=$11.26 (source: yahoo)
2026-02-19 09:08:27 | DEBUG    | shortsqueeze.signals:scan_stock - UNVGY: No Alpaca intraday data, trying Finnhub...
2026-02-19 09:08:28 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 09:08:28 | DEBUG    | shortsqueeze.signals:scan_stock - UNVGY: Using Yahoo volume=2,012
2026-02-19 09:08:28 | DEBUG    | shortsqueeze.signals:scan_stock - UNVGY: No signal - price=False (+1.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-02-19 09:08:29 | DEBUG    | shortsqueeze.signals:scan_stock - DEO: price=$95.53, prev_close=$95.17 (source: yahoo)
2026-02-19 09:08:29 | DEBUG    | shortsqueeze.signals:scan_stock - DEO: No signal - price=False (+0.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($95.53 vs VWAP $95.01), squeeze=False, mom=False
2026-02-19 09:08:29 | DEBUG    | shortsqueeze.signals:scan_stock - EWY: price=$134.55, prev_close=$132.93 (source: yahoo)
2026-02-19 09:08:30 | DEBUG    | shortsqueeze.signals:scan_stock - EWY: No signal - price=False (+1.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($134.55 vs VWAP $132.87), squeeze=False, mom=False
2026-02-19 09:08:30 | DEBUG    | shortsqueeze.signals:scan_stock - UEC: price=$16.01, prev_close=$16.00 (source: yahoo)
2026-02-19 09:08:30 | DEBUG    | shortsqueeze.signals:scan_stock - UEC: No signal - price=False (+0.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($16.01 vs VWAP $15.97), squeeze=False, mom=False
2026-02-19 09:08:31 | DEBUG    | shortsqueeze.signals:scan_stock - CNXC: price=$48.22, prev_close=$33.13 (source: yahoo)
2026-02-19 09:08:31 | DEBUG    | shortsqueeze.signals:scan_stock - CNXC: No Alpaca intraday data, trying Finnhub...
2026-02-19 09:08:32 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 09:08:32 | DEBUG    | shortsqueeze.signals:scan_stock - CNXC: Using Yahoo volume=204,034
2026-02-19 09:08:32 | DEBUG    | shortsqueeze.signals:scan_stock - CNXC: No signal - price=True (+45.5%, need +5.0%), vol=False (ratio=0.6x, need 3.0x, src=yahoo), vwap=True ($48.22 vs VWAP $32.76), squeeze=False, mom=False
2026-02-19 09:08:32 | DEBUG    | shortsqueeze.signals:scan_stock - FXI: price=$38.56, prev_close=$38.72 (source: yahoo)
2026-02-19 09:08:32 | DEBUG    | shortsqueeze.signals:scan_stock - FXI: No signal - price=False (-0.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($38.56 vs VWAP $38.78), squeeze=False, mom=False
2026-02-19 09:08:33 | DEBUG    | shortsqueeze.signals:scan_stock - GEMI: price=$5.95, prev_close=$6.38 (source: yahoo)
2026-02-19 09:08:33 | DEBUG    | shortsqueeze.signals:scan_stock - GEMI: No signal - price=False (-6.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($5.95 vs VWAP $6.48), squeeze=False, mom=False
2026-02-19 09:08:34 | DEBUG    | shortsqueeze.signals:scan_stock - UMC: price=$10.16, prev_close=$10.23 (source: yahoo)
