2026-02-19 07:39:20 | DEBUG    | shortsqueeze.signals:scan_stock - FWDI: No Alpaca intraday data, trying Finnhub...
2026-02-19 07:39:20 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 07:39:20 | DEBUG    | shortsqueeze.signals:scan_stock - FWDI: Using Yahoo volume=24,459
2026-02-19 07:39:20 | DEBUG    | shortsqueeze.signals:scan_stock - FWDI: No signal - price=False (-2.6%, need +5.0%), vol=False (ratio=1.2x, need 3.0x, src=yahoo), vwap=False ($4.43 vs VWAP $4.62), squeeze=False, mom=False
2026-02-19 07:39:21 | DEBUG    | shortsqueeze.signals:scan_stock - AUR: price=$4.71, prev_close=$4.74 (source: yahoo)
2026-02-19 07:39:21 | DEBUG    | shortsqueeze.signals:scan_stock - AUR: No signal - price=False (-0.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($4.71 vs VWAP $4.75), squeeze=False, mom=False
2026-02-19 07:39:22 | DEBUG    | shortsqueeze.signals:scan_stock - ORBS: price=$1.22, prev_close=$1.22 (source: yahoo)
2026-02-19 07:39:22 | DEBUG    | shortsqueeze.signals:scan_stock - ORBS: No signal - price=False (+0.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.22 vs VWAP $1.25), squeeze=False, mom=False
2026-02-19 07:39:22 | DEBUG    | shortsqueeze.signals:scan_stock - WIT: price=$2.25, prev_close=$2.29 (source: yahoo)
2026-02-19 07:39:23 | DEBUG    | shortsqueeze.signals:scan_stock - WIT: No Alpaca intraday data, trying Finnhub...
2026-02-19 07:39:23 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 07:39:23 | DEBUG    | shortsqueeze.signals:scan_stock - WIT: Using Yahoo volume=126,433
2026-02-19 07:39:23 | DEBUG    | shortsqueeze.signals:scan_stock - WIT: No signal - price=False (-1.7%, need +5.0%), vol=False (ratio=0.5x, need 3.0x, src=yahoo), vwap=False ($2.25 vs VWAP $2.31), squeeze=False, mom=False
2026-02-19 07:39:24 | DEBUG    | shortsqueeze.signals:scan_stock - LWLG: price=$1.67, prev_close=$3.45 (source: yahoo)
2026-02-19 07:39:24 | DEBUG    | shortsqueeze.signals:scan_stock - LWLG: No Alpaca intraday data, trying Finnhub...
2026-02-19 07:39:25 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 07:39:25 | DEBUG    | shortsqueeze.signals:scan_stock - LWLG: Using Yahoo volume=42,394
2026-02-19 07:39:25 | DEBUG    | shortsqueeze.signals:scan_stock - LWLG: No signal - price=False (-51.6%, need +5.0%), vol=False (ratio=1.1x, need 3.0x, src=yahoo), vwap=False ($1.67 vs VWAP $3.48), squeeze=False, mom=False
2026-02-19 07:39:25 | DEBUG    | shortsqueeze.signals:scan_stock - SATL: price=$3.04, prev_close=$3.12 (source: yahoo)
2026-02-19 07:39:26 | DEBUG    | shortsqueeze.signals:scan_stock - SATL: No signal - price=False (-2.9%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=alpaca), vwap=False ($3.04 vs VWAP $3.16), squeeze=False, mom=False
2026-02-19 07:39:26 | DEBUG    | shortsqueeze.signals:scan_stock - DNN: price=$3.87, prev_close=$3.93 (source: yahoo)
2026-02-19 07:39:26 | DEBUG    | shortsqueeze.signals:scan_stock - DNN: No signal - price=False (-1.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($3.87 vs VWAP $3.93), squeeze=False, mom=False
